0.000000	0.359909	A
0.394739	0.684989	xuống
0.684989	0.963628	A
1.097143	1.404807	xuống
1.486077	1.828571	bắn
1.880816	2.234921	lên
2.310385	2.681905	bắn
2.681905	3.059229	B
3.198549	3.494603	B
3.494603	3.842902	lên
4.405986	4.620771	A
4.736871	5.044535	A
5.085170	5.387029	nhảy
5.416054	5.752744	trái
5.845624	6.089433	A
6.228753	6.484172	xuống
6.582857	6.820862	A
6.965986	7.256236	bắn
7.558095	7.819320	bắn
7.987664	8.301134	nhảy
9.195102	9.618866	phải
9.618866	9.961361	lên
9.996190	10.332880	trái
10.332880	10.640544	B
10.663764	11.029478	lên
11.116553	11.424218	A
11.499683	11.824762	A
11.906032	12.196281	nhảy
12.254331	12.486531	bắn
12.556190	12.788390	trái
13.850703	14.169977	A
14.199002	14.495057	trái
14.611156	14.930431	phải
15.034921	15.429660	xuống
15.493515	15.812789	trái
15.812789	16.161088	lên
16.230748	16.555828	xuống
16.677732	16.927347	xuống
16.979592	17.281451	trái
17.356916	17.583311	xuống
18.750113	19.144853	trái
19.185488	19.557007	B
19.644082	20.050431	B
20.241995	20.572880	B
20.694785	21.002449	B
21.356553	21.803537	xuống
21.826757	22.320181	lên
22.488526	22.918095	lên
23.063220	23.852698	si
23.852698	24.241633	trái
24.288073	24.694422	xuống
