0.512973	1.036861	len
1.146004	1.724463	xuong
1.833606	2.292008	B
2.466637	2.935953	nhay
3.121496	3.579898	B
3.787270	4.180186	trai
4.332986	4.922360	xuong
5.064246	5.489905	A
5.599048	6.090192	ban
6.188421	6.548594	B
7.094310	7.618198	len
7.781913	8.349457	len
8.447686	8.949745	xuong
9.058888	9.484547	A
9.637348	10.030263	phai
10.172149	10.608722	ban
10.717866	11.209010	xuong
11.329068	11.743812	trai
11.885698	12.256785	A
12.387757	12.791587	nhay
13.446446	13.861191	trai
13.948505	14.450564	B
14.570622	14.941709	ban
15.116338	15.585654	B
15.705711	16.109541	A
16.207770	16.578857	ban
16.731658	17.168231	ban
17.288288	17.637547	A
17.812176	18.150520	B
18.292406	18.718065	A
19.329267	19.776754	B
19.896811	20.289727	len
20.420699	20.868186	nhay
20.944587	21.468474	xuong
21.872304	22.297963	nhay
22.472592	22.963736	phai
23.061965	23.487624	A
23.553110	24.087912	len
24.207969	24.600885	B
24.775514	25.244830	A
25.801460	26.216205	len
26.336262	26.827407	len
26.914721	27.373123	xuong
27.438609	27.864268	nhay
27.995239	28.366326	xuong
28.595527	28.966614	xuong
29.152158	29.566902	xuong
29.643302	30.068961	A
30.178104	30.483705	nhay
30.658334	31.094907	trai
