0.000000	0.691953	sil
\	92.164162	121.758713
0.700075	1.132641	len
\	1119.180542	1119.180542
1.109875	1.531058	xuong
\	640.086731	814.363281
1.496908	1.861175	phai
\	349.394104	401.989594
1.844959	2.192027	phai
\	1021.797424	1233.857056
2.202941	2.523815	len
\	568.350281	576.127502
2.532546	2.899259	len
\	623.802551	631.919861
2.981728	3.090868	sil
\	664.889526	664.889526
3.090868	3.505604	len
\	362.302856	368.816589
3.514335	3.798101	B
\	939.620117	949.673767
3.813381	4.062222	xuong
\	615.734741	615.734741
4.062222	4.341622	A
\	206.195801	275.170013
4.350354	5.015510	sil
\	568.350281	805.134277
